itemID	List	bigSize	smallSize	misSeg	xCoordsForWindowBoundaries	$sentImg	Width	$Sentence	$question	answerTF	$block	$condition	shrunk	$TargetWord	$VowelLocation
901	1	50	50	False	[5,185,245,365,455,635,695,755,785,875,935,1085,1145,1235,1295,1355]	practice_misSeg_False_sizes_50_50_901_sent.png	45	น้องชาย/ไป/ตลาด/และ/พยายาม/ซื้อ/ส้ม/สี่/กิโล/แต่/ปรากฏ/ว่า/เงิน/ไม่/พอ	น้องชายไม่ได้ซื้อส้ม	True	practice	MH	False	NA	NA
901	2	50	50	False	[5,185,245,365,455,635,695,755,785,875,935,1085,1145,1235,1295,1355]	practice_misSeg_False_sizes_50_50_901_sent.png	45	น้องชาย/ไป/ตลาด/และ/พยายาม/ซื้อ/ส้ม/สี่/กิโล/แต่/ปรากฏ/ว่า/เงิน/ไม่/พอ	น้องชายไม่ได้ซื้อส้ม	True	practice	MH	False	NA	NA
901	3	50	50	False	[5,185,245,365,455,635,695,755,785,875,935,1085,1145,1235,1295,1355]	practice_misSeg_False_sizes_50_50_901_sent.png	45	น้องชาย/ไป/ตลาด/และ/พยายาม/ซื้อ/ส้ม/สี่/กิโล/แต่/ปรากฏ/ว่า/เงิน/ไม่/พอ	น้องชายไม่ได้ซื้อส้ม	True	practice	MH	False	NA	NA
901	4	50	50	False	[5,185,245,365,455,635,695,755,785,875,935,1085,1145,1235,1295,1355]	practice_misSeg_False_sizes_50_50_901_sent.png	45	น้องชาย/ไป/ตลาด/และ/พยายาม/ซื้อ/ส้ม/สี่/กิโล/แต่/ปรากฏ/ว่า/เงิน/ไม่/พอ	น้องชายไม่ได้ซื้อส้ม	True	practice	MH	False	NA	NA
902	1	50	50	False	[5,65,365,575,665,815,875,965,1025,1115,1175,1235,1385,1445,1565,1625]	practice_misSeg_False_sizes_50_50_902_sent.png	54	ใน/สหรัฐอเมริกา/ภาคเหนือ/พระ/อาทิตย์/ตก/ตอน/หก/โมง/แต่/ไน/ภาคใต้/ยัง/สว่าง/อยู่	ช่วงเวลาที่สว่างในภาคใต้ยาวกว่าภาคเหนือ	True	practice	MH	False	NA	NA
902	2	50	50	False	[5,65,365,575,665,815,875,965,1025,1115,1175,1235,1385,1445,1565,1625]	practice_misSeg_False_sizes_50_50_902_sent.png	54	ใน/สหรัฐอเมริกา/ภาคเหนือ/พระ/อาทิตย์/ตก/ตอน/หก/โมง/แต่/ไน/ภาคใต้/ยัง/สว่าง/อยู่	ช่วงเวลาที่สว่างในภาคใต้ยาวกว่าภาคเหนือ	True	practice	MH	False	NA	NA
902	3	50	50	False	[5,65,365,575,665,815,875,965,1025,1115,1175,1235,1385,1445,1565,1625]	practice_misSeg_False_sizes_50_50_902_sent.png	54	ใน/สหรัฐอเมริกา/ภาคเหนือ/พระ/อาทิตย์/ตก/ตอน/หก/โมง/แต่/ไน/ภาคใต้/ยัง/สว่าง/อยู่	ช่วงเวลาที่สว่างในภาคใต้ยาวกว่าภาคเหนือ	True	practice	MH	False	NA	NA
902	4	50	50	False	[5,65,365,575,665,815,875,965,1025,1115,1175,1235,1385,1445,1565,1625]	practice_misSeg_False_sizes_50_50_902_sent.png	54	ใน/สหรัฐอเมริกา/ภาคเหนือ/พระ/อาทิตย์/ตก/ตอน/หก/โมง/แต่/ไน/ภาคใต้/ยัง/สว่าง/อยู่	ช่วงเวลาที่สว่างในภาคใต้ยาวกว่าภาคเหนือ	True	practice	MH	False	NA	NA
903	1	50	50	False	[5,125,305,518,608,848,998,1238,1328,1478,1688,1808,1868,1988,2138,2288,2378,2528]	practice_misSeg_False_sizes_50_50_903_sent.png	76	ดร. /สุรินทร์ /พิศสุวรรณ/เป็น/เลขาธิการ/สมาคม/ประชาชาติ/แห่ง/เอเชีย/ตะวันออก/เฉียง/ใต้/ตั้งแต่/ พ.ศ./ 2551/ ถึง/ 2555	วาระยาวที่สุดที่สามารถดํารงตําแหน่งเลขาธิการไม่เกินสองปี	False	practice	MH	False	NA	NA
903	2	50	50	False	[5,125,305,518,608,848,998,1238,1328,1478,1688,1808,1868,1988,2138,2288,2378,2528]	practice_misSeg_False_sizes_50_50_903_sent.png	76	ดร. /สุรินทร์ /พิศสุวรรณ/เป็น/เลขาธิการ/สมาคม/ประชาชาติ/แห่ง/เอเชีย/ตะวันออก/เฉียง/ใต้/ตั้งแต่/ พ.ศ./ 2551/ ถึง/ 2555	วาระยาวที่สุดที่สามารถดํารงตําแหน่งเลขาธิการไม่เกินสองปี	False	practice	MH	False	NA	NA
